SHAWNEE OK,196 SHAWNEE MALL DR,SHAWNEE,OK,74804,35.3843,-96.9202
CAMERON MO,2000 N WALNUT ST,CAMERON,MO,64429,39.7367,-94.2258
WINTER GARDEN FL,16313 NEW INDEPENDENCE PARKWAY,WINTER GARDEN,FL,34787,28.4771683,-81.6288601
AMORY MS,1515 HIGHWAY 278 E,AMORY,MS,38821,33.967956173761884,-88.45927506099049
BATESVILLE AR,3150 HARRISON ST,BATESVILLE,AR,72501,35.7646,-91.61394436039133
OKMULGEE OK,1800 S WOOD DR,OKMULGEE,OK,74447,35.6402,-96.0018
LITTLE ROCK AR,2700 S SHACKLEFORD RD,LITTLE ROCK,AR,72205,34.72874473473974,-92.3951
ARDMORE OK,1715 N COMMERCE ST,ARDMORE,OK,73401,34.19325,-97.143
MUSKOGEE OK,1000 W SHAWNEE ST,MUSKOGEE,OK,74401,35.7698,-95.37447878787879
MT PLEASANT TX,2311 S JEFFERSON AVE,MOUNT PLEASANT,TX,75455,33.1371,-94.9682
KINGFISHER OK,200 STARLITE DR,KINGFISHER,OK,73750,35.8275,-97.8429
ELK CITY OK,210 REGIONAL DR,ELK CITY,OK,73644,35.4196,-99.4378
STILLWATER OK,111 N PERKINS RD,STILLWATER,OK,74075,36.123427906976744,-97.0515
"SPRINGFIELD (NE), MO",1923 E KEARNEY ST,SPRINGFIELD,MO,65803,37.2415551,-93.2590359
PURCELL OK,2015 S GREEN AVE,PURCELL,OK,73080,34.98700061088505,-97.36818944813933
LUFKIN TX,2500 DANIEL MCCALL DR,LUFKIN,TX,75904,31.297796116135135,-94.72796077677296
FAYETTEVILLE AR (WEST),2875 W MRTN LUTHER K,FAYETTEVILLE,AR,72704,36.1056,-94.2965
PARIS TX,3855 LAMAR AVE,PARIS,TX,75462,33.535876,-95.723043
"JONESBORO, LA",184 OLD WINNFIELD RD,JONESBORO,LA,71251,32.22803137492251,-92.7084
WOODWARD OK,3215 WILLIAMS AVE,WOODWARD,OK,73801,36.41452329748246,-99.38162329748246
COLUMBIA MO,415 CONLEY RD,COLUMBIA,MO,65201,38.95522511568592,-92.29412830748736
HOUSTON MO,1433 S SAM HOUSTON BLVD,HOUSTON,MO,65483,37.3097,-91.9616
OWASSO OK,12101 E 96TH ST N,OWASSO,OK,74055,36.293,-95.84744612244899
LONOKE AR,322 BROWNSVILLE LOOP,LONOKE,AR,72086,34.81008658770243,-91.89498658770243
NATCHITOCHES LA,925 KEYSER AVE,NATCHITOCHES,LA,71457,31.7517,-93.0521
WASHINGTON MO,1701 A ROY DR,WASHINGTON,MO,63090,38.5389,-90.9918
POTOSI MO,#1 MEMORIAL DRIVE,POTOSI,MO,63664,37.9239,-90.7718
COLLIERVILLE TN,560 W POPLAR AVE,COLLIERVILLE,TN,38017,35.0483191,-89.6813675
NEW BOSTON TX,800 JAMES BOWIE DR,NEW BOSTON,TX,75570,33.4733,-94.409
GREENVILLE MS,1831 HIGHWAY 1 S,GREENVILLE,MS,38701,33.37138678771307,-91.03995165153587
EL DORADO KS,301 S VILLAGE RD,EL DORADO,KS,67042,37.8173,-96.8896
CAPE GIRARDEAU MO,3439 WILLIAM ST,CAPE GIRARDEAU,MO,63701,37.302893205215426,-89.58212525736968
KIRKSVILLE MO,2206 N BALTIMORE ST,KIRKSVILLE,MO,63501,40.21890784313725,-92.5827
COLUMBIA TN,2200 BROOKMEADE DR,COLUMBIA,TN,38401,35.5964,-87.0536
BAYTOWN TX,4900 GARTH RD,BAYTOWN,TX,77521,29.7763238,-94.9754279
EXCELSIOR SPRINGS MO,2203 PATSY LN,EXCELSIOR SPRINGS,MO,64024,39.3304,-94.2676
CARBONDALE IL,1450 E MAIN ST,CARBONDALE,IL,62901,37.736969580643496,-89.183460838713
MACOMB IL,1730 E JACKSON ST,MACOMB,IL,61455,40.45917034627624,-90.69958138510493
SALEM IL,1870 W MAIN ST,SALEM,IL,62881,38.6227,-88.98772574229962
LINCOLN IL,825 MALERICH DR,LINCOLN,IL,62656,40.1569,-89.3964
JACKSONVILLE IL,1941 W MORTON AVE,JACKSONVILLE,IL,62650,39.7231,-90.2641
BELLEVILLE IL,2608 GREEN MOUNT COMMONS DR,BELLEVILLE,IL,62221,38.521054500200556,-89.92614061799266
FRISCO CUSTER & 121 TX,16066 STATE HIGHWAY 121,FRISCO,TX,75035,32.9672437,-97.0319984
PRINCETON KY,1500 US HIGHWAY 62 W,PRINCETON,KY,42445,37.1082830810065,-87.91926616201299
MCKINNEY TX,2041 N REDBUD BLVD,MCKINNEY,TX,75069,33.218813511186,-96.631286488814
CLEVELAND OK,772 N AIRPORT RD,CLEVELAND,OK,74020,36.21,-96.4638
NORMAN OK,333 N INTERSTATE DR,NORMAN,OK,73069,35.2955221,-97.4906408
JASPER TX,800 W GIBSON ST,JASPER,TX,75951,30.9064,-94.0126
MARION IL,2802 OUTER ROAD DRIVE,MARION,IL,62959,37.7182,-88.9104
LEWISVILLE TX,801 W MAIN ST,LEWISVILLE,TX,75067,32.9529513,-97.0074595
SEDALIA MO,3201 W BROADWAY BLVD,SEDALIA,MO,65301,38.70911026334039,-93.2674632455532
YUKON OK,1200 GARTH BROOKS BLVD,YUKON,OK,73099,35.49680447761194,-97.7602
"MT. VERNON, IL.",110 DAVIDSON RD,MOUNT VERNON,IL,62864,38.3174,-88.9606
EL RENO OK.,2400 S COUNTRY CLUB RD,EL RENO,OK,73036,35.51130549450549,-97.9728
ADA OK.,1419 N COUNTRY CLUB RD,ADA,OK,74820,34.78965,-96.6523
"KANSAS CITY, MO.",8301 N CHURCH RD,KANSAS CITY,MO,64158,39.246,-94.4568
HARRISBURG IL.,710 S COMMERCIAL ST,HARRISBURG,IL,62946,37.73321686837474,-88.53446269112172
"JERSEYVILLE, IL.",1316 S STATE ST,JERSEYVILLE,IL,62052,39.1036942,-90.3182864
OLNEY IL.,1001 NORTH WEST,OLNEY,IL,62450,38.7132,-88.0892
"GLEN CARBON, IL.",400 JUNCTION DR,GLEN CARBON,IL,62034,38.77759439058188,-89.95863599475926
ROCKWALL TX.,782 E INTERSTATE 30,ROCKWALL,TX,75087,32.9439,-96.4529
WAXAHACHIE TX.,1200 N HIGHWAY 77,WAXAHACHIE,TX,75165,32.4175145,-96.8403307
DICKSON TN,175 BEASLEY DR,DICKSON,TN,37055,36.06354064041795,-87.38304567057024
"SOUTHLAKE, TX",1601 W STATE HIGHWAY 114,GRAPEVINE,TX,76051,32.9309,-97.0954
SAVANNAH TN,175 JI BELL LN,SAVANNAH,TN,38372,35.1436,-88.1568
FRANKLIN TN,3600 MALLORY LN,FRANKLIN,TN,37067,35.9396099,-86.8193681
LIVINGSTON TX,1620 W CHURCH ST,LIVINGSTON,TX,77351,30.71130536281857,-94.95116351204165
MOORE OK,501 SW 19TH ST,MOORE,OK,73160,35.3208654,-97.4926146
MANSFIELD TX,930 N WALNUT CREEK DR STE 800,MANSFIELD,TX,76063,32.5707,-97.1448
HUNTSVILLE TX,141 INTERSTATE 45 S,HUNTSVILLE,TX,77340,30.4291,-95.4947
ENNIS TX,700 E ENNIS AVE,ENNIS,TX,75119,32.3329442,-96.6205025
JASPER AL,1801 HIGHWAY 78 E,JASPER,AL,35501,33.8338,-87.2771
GONZALES TX,1114 E. SARAH DEWITT DRIVE,GONZALES,TX,78629,29.5174,-97.4312
LOCKHART TX,1904 S COLORADO ST,LOCKHART,TX,78644,29.859249397619337,-97.66864320154727
EUREKA MO,131 ERKA TWN CNTR DR,EUREKA,MO,63025,38.4875,-90.62
PORTER TX,23561 US HWY 59,PORTER,TX,77365,30.105552943742413,-95.2358598372632
BOAZ AL,1972 HWY 431,BOAZ,AL,35957,34.214289655172415,-86.15639655172414
BOWLING GREEN KY,150 WALTON AVE,BOWLING GREEN,KY,42104,36.95129806844537,-86.43522264102043
GADSDEN AL,340 E MEIGHAN BLVD,GADSDEN,AL,35903,34.01007755854267,-85.98877325172582
MURPHYSBORO IL,6495 COUNTRY CLUB RD,MURPHYSBORO,IL,62966,37.759804243693445,-89.2811
SPRINGFIELD TN,3360 TOM AUSTIN HWY,SPRINGFIELD,TN,37172,36.4826,-86.8868
ARAB AL,1450 NO. BRINDLEE MT,ARAB,AL,35016,34.3239,-86.502
HIGH RIDGE MO,2700 RIDGE POINT DR,HIGH RIDGE,MO,63049,38.6786,-90.5163
FAYETTEVILLE TN,1224 HUNTSVILLE HWY,FAYETTEVILLE,TN,37334,35.125896848137536,-86.566
ONEONTA AL,2453 2ND AVE E,ONEONTA,AL,35121,33.971277196896274,-86.45022280310373
VANDALIA IL,201 NO. MATTES AVENU,VANDALIA,IL,62471,38.9462,-89.1301
ARKADELPHIA AR,109 WP MALONE DR,ARKADELPHIA,AR,71923,34.1246,-93.0917
BRYAN TX,2200 BRIARCREST DR,BRYAN,TX,77802,30.6568,-96.3347
RICHMOND MO,908 WALTON WAY,RICHMOND,MO,64085,39.2659,-93.9644
ANNISTON AL,5560 MCCLELLAN BLVD,ANNISTON,AL,36206,33.7201594,-85.8194215
