"Store Nbr","Mod Footage","Store Name","Store Type","Building Address","Building City","Building State/Prov","Building Postal Code"
"641","12","GREENVILLE SC","Supercenter","6134 WHITE HORSE RD","GREENVILLE","SC","29611"
"643","12","MYRTLE BEACH SC","Supercenter","10820 KINGS RD","MYRTLE BEACH","SC","29572"
"644","12","ANDERSON SC","Supercenter","651 HIGHWAY 28 BYP","ANDERSON","SC","29624"
"645","12","NORFOLK NE","Supercenter","2400 W PASEWALK AVE","NORFOLK","NE","68701"
"648","12","ST PETERS, MO","Supercenter","1661 JUNGERMANN RD","SAINT PETERS","MO","63304"
"649","12","TITUSVILLE,FL","Supercenter","3175 CHENEY HWY","TITUSVILLE","FL","32780"
"653","12","HOPKINSVILLE KY","Supercenter","300 CLINIC DR","HOPKINSVILLE","KY","42240"
"655","12","MADISONVILLE KY","Supercenter","420 FACTORY OUTLET DRIVE","HANSON","KY","42413"
"656","12","SHELBYVILLE TN","Supercenter","1880 N MAIN ST","SHELBYVILLE","TN","37160"
"657","12","COOKEVILLE TN","Supercenter","768 S JEFFERSON AVE","COOKEVILLE","TN","38501"
"659","12","NASHVILLE TN","Supercenter","7044 CHARLOTTE PIKE","NASHVILLE","TN","37209"
"661","12","ATHENS AL","Supercenter","1011 US HIGHWAY 72 E","ATHENS","AL","35611"
"663","12","ATHENS TN","Supercenter","1815 DECATUR PIKE","ATHENS","TN","37303"
"665","12","CAMPBELLSVILLE KY","Supercenter","725 CAMPBELLSVILLE BYP","CAMPBELLSVILLE","KY","42718"
"666","12","SEBRING FL","Supercenter","3525 US HIGHWAY 27 N","SEBRING","FL","33870"
"668","12","MCMINNVILLE, TN","Supercenter","915 N CHANCERY ST","MCMINNVILLE","TN","37110"
"669","12","DALTON GA","Supercenter","2545 E WALNUT AVE","DALTON","GA","30721"
"670","12","CULLMAN AL","Supercenter","626 OLIVE ST SW","CULLMAN","AL","35055"
"671","12","LEBANON TN","Supercenter","615 S CUMBERLAND ST","LEBANON","TN","37087"
"673","12","CLARKSVILLE (E) TN","Supercenter","3050 WILMA RUDOLPH BLVD","CLARKSVILLE","TN","37040"
"676","12","ROCKWOOD/HARRIMAN TN","Supercenter","1102 NO. GATEWAY AVE","ROCKWOOD","TN","37854"
"677","12","DYERSBURG TN","Supercenter","2650 LAKE RD","DYERSBURG","TN","38024"
"678","12","NEWPORT TN","Supercenter","1075 COSBY HWY","NEWPORT","TN","37821"
"680","12","GREENEVILLE TN","Supercenter","3755 E ANDREW JOHNSON HWY","GREENEVILLE","TN","37745"
"682","12","MURFREESBORO TN","Supercenter","2000 OLD FORT PKWY","MURFREESBORO","TN","37129"
"688","12","NASHVILLE (S), TN","Supercenter","5824 NOLENSVILLE PIKE","NASHVILLE","TN","37211"
