6670 Clinton Hwy,Knoxville,TN,37912,36.0069,-84.0197
514 Shallowford Rd NW,Gainesville,GA,30504,34.29134863114899,-83.84603147386147
3150 Bel Air Mall,Mobile,AL,36606,30.673480388386483,-88.12590194193244
6295 W Waters Ave,Tampa,FL,33634,28.0264478,-82.5493457
5350 Fruitville Rd,Sarasota,FL,34232,27.3364878,-82.4623411
2100 Texas Ave S,College Station,TX,77840,30.61229494949495,-96.31539393939394
7501 San Dario Ave,Laredo,TX,78045,27.56991843717197,-99.50233413853125
1002 Dixieland Rd,Harlingen,TX,78552,26.18,-97.721
1111 E Army Post Rd Ste 2204,Des Moines,IA,50315,41.5232785,-93.6016694
3450 4th St SW,Mason City,IA,50401,43.1484,-93.25473333333333
1708 N Central Ave,Marshfield,WI,54449,44.6845,-90.1635
5300 US Highway 10 E,Stevens Point,WI,54482,44.5248904,-89.5232099
1900 S Koeller St,Oshkosh,WI,54902,44.007439411448445,-88.58201936472547
485 N Rolling Meadows Dr,Fond Du Lac,WI,54937,43.7906356,-88.4849694
2017 Humes Rd,Janesville,WI,53545,42.7225322,-88.9987282
6560 E State St,Rockford,IL,61108,42.2695967,-88.9887118
2340 Highway 77,Panama City,FL,32405,30.191604,-85.6488424
187 Brandon Town Center Dr,Brandon,FL,33511,27.9359424,-82.3245614
4271 Tamiami Trl S,Venice,FL,34293,27.2324283,-82.5048931
12801 W Sunrise Blvd,Sunrise,FL,33323,26.1461311,-80.3246652
2650 NW Federal Hwy,Stuart,FL,34994,27.2600125,-80.2823393
6150 14th St W,Bradenton,FL,34207,27.43207272727273,-82.5757
13711 S Tamiami Trl,Fort Myers,FL,33912,26.5449084,-81.8690121
33860 S Gratiot Ave,Clinton Township,MI,48035,42.545981818181815,-82.90511818181818
8600 Springbrook Dr NW,Coon Rapids,MN,55433,45.133298880715465,-93.27269888071547
4404 Highway 29 S,Alexandria,MN,56308,45.93790859106662,-95.313
801 Sunland Park Dr,El Paso,TX,79912,31.81817915322371,-106.54534169355259
1901 George Dieter Dr,El Paso,TX,79936,31.769440384615386,-106.3034
708 E Expressway 83,McAllen,TX,78503,26.187718117092647,-98.21512753162942
8055 W Bell Rd,Peoria,AZ,85382,33.6362594,-112.2281041
3210 N Tenaya Way,Las Vegas,NV,89129,36.2191834,-115.2495784
1401 Frontage Rd,Scottsbluff,NE,69361,41.86711712643081,-103.64113425286162
2725 N Main St,Roswell,NM,88201,33.427158602150534,-104.5231
313 E Townline Rd,Vernon Hills,IL,60061,42.238996,-87.956968
300 S Randall Rd,Elgin,IL,60123,41.8865331,-88.3434474
2621 W Schaumburg Rd,Schaumburg,IL,60194,42.0228678,-88.1459316
175 W Army Trail Rd,Glendale Heights,IL,60139,41.93749925555931,-88.0837918111524
850 W North Ave,Melrose Park,IL,60160,41.9051254,-87.8436314
601 S County Farm Rd,Wheaton,IL,60187,41.85969285714286,-88.1426
115 N Randall Rd,Batavia,IL,60510,41.8522106,-88.3427191
1951 W Jefferson Ave,Naperville,IL,60540,41.7713608,-88.2031704
7100 S Cicero Ave,Chicago,IL,60629,41.7632408,-87.7429957
15850 S 94th Ave,Orland Park,IL,60462,41.6225,-87.8486
9250 Joliet Rd,Hodgkins,IL,60525,41.7809234,-87.859439
2120 Apalachee Pkwy,Tallahassee,FL,32301,30.4330512,-84.2445755
4155 W Lake Mary Blvd,Lake Mary,FL,32746,28.7545931,-81.3485944
1001 13th St S,Virginia,MN,55792,47.5119,-92.5481
3316 7th Ave SE,Aberdeen,SD,57401,45.4581,-98.44257142857143
6001 W Gateway Blvd,El Paso,TX,79925,31.8325,-106.4402
3550 S Rainbow Blvd,Las Vegas,NV,89103,36.1247456,-115.2414346
7409 W Virginia Ave,Phoenix,AZ,85035,33.4757118,-112.2185836
3901 W Ina Rd,Tucson,AZ,85741,32.3360796,-111.0488678
6500 E Grant Rd,Tucson,AZ,85715,32.2487773,-110.8532705
1510 Market Ln,Norfolk,NE,68701,42.0186,-97.43039360474208
4800 3rd Ave,Kearney,NE,68845,40.7220339,-99.0859308
13250 Northwest Fwy,Houston,TX,77040,29.8489996,-95.5023889
2000 9th Ave SE,Watertown,SD,57201,44.889849544313925,-97.08383171607473
525 S Gear Ave,West Burlington,IA,52655,40.8210718,-91.1724448
1300 State Highway 55 NE,Buffalo,MN,55313,45.204259608812286,-93.91520470773256
851 W 78th St,Chanhassen,MN,55317,44.8621,-93.543
N95 W 17707 Shady Ln,Menomonee Falls,WI,53051,43.1594,-88.1215
2553 Sun Valley Dr,Delafield,WI,53018,43.0510035,-88.3774271
6601 Grand Ave,Gurnee,IL,60031,42.3833666,-87.9657554
2333 63rd St,Woodridge,IL,60517,41.7757492,-87.8870808
1188 W Boughton Rd,Bolingbrook,IL,60440,41.703457276182455,-88.12144179054036
5071 Cal Sag Rd,Crestwood,IL,60445,41.658133562426926,-87.74696712485385
2661 E US Highway 30,Merrillville,IN,46410,41.4709,-87.2216
5001 N Big Hollow Rd,Peoria,IL,61615,40.7546,-89.6451
20100 Haggerty Rd,Livonia,MI,48152,42.4168,-83.4327
2000 SW College Rd,Ocala,FL,34471,29.1734225,-82.1567527
2575 Enterprise Rd,Orange City,FL,32763,28.9164722,-81.2931947
2417 N Haskell Ave,Dallas,TX,75204,32.804084,-96.7910142
1101 Ira E Woods Ave,Grapevine,TX,76051,32.9309087,-97.0897491
3251 Hollywood Blvd Ste 300,Hollywood,FL,33021,26.0108,-80.1727068883974
2910 1st Ave S,Fort Dodge,IA,50501,42.5069638,-94.158172
5330 S 56th St,Lincoln,NE,68516,40.7596897,-96.6409922
1235 E Higgins Rd,Schaumburg,IL,60173,42.0375513,-88.0490876
6925 W 38th St,Indianapolis,IN,46254,39.82316539706998,-86.28171730146501
202 Highway 332 W,Lake Jackson,TX,77566,29.0486,-95.46684560027295
777 E Colorado Blvd,Pasadena,CA,91101,34.1458,-118.1429
1851 E Highway 69,Prescott,AZ,86301,34.549707269279715,-112.43689533379553
4510 Garth Rd,Baytown,TX,77521,29.771934,-94.976308
7608 NE Zac Lentz Pkwy,Victoria,TX,77904,28.864091498934485,-97.00285862538718
1071 W Carl Sandburg Dr,Galesburg,IL,61401,40.9749,-90.38973595631086
401 W Irving Park Rd,Wood Dale,IL,60191,42.0244406,-88.2219446
2701 Plainfield Rd,Joliet,IL,60435,41.57563221362861,-88.15594937091613
1615 N State Route 50,Bourbonnais,IL,60914,41.1741044,-87.8539262
495 Haggerty Hwy,Walled Lake,MI,48390,42.2197,-83.44
820 Oviedo Mall Blvd,Oviedo,FL,32765,28.6578266,-81.2368717
4410 S Highway 17 92,Casselberry,FL,32707,28.664,-81.315
2324 Pine Ridge Rd,Naples,FL,34109,26.2092407,-81.771065
5350 W Main St,Kalamazoo,MI,49009,42.2962,-85.6552
2140 S Pokegama Ave PO Box 5124,Grand Rapids,MN,55744,47.2344,-93.507
